clave_municipio,entidad,mpio,gdp_tourism,gdp_toursim_ss,numero_hospitales,poblacion_2022,popnoafmed2015,gini2015,popden2020,crimen_2018,crimen_2019,inclusion_fin_2019,porcentaje_pob_pobreza,porcentaje_pob_servicios_salud,pob_6-14_no_edu,rezago_social,grado_rs
13022,Hidalgo,Epazoyucan,161297604.3,0.004968706,7,16053,13.163,0.359,93.217,0,6.28,0,36.82,28.6,6.05,-0.76,Muy bajo
13023,Hidalgo,Francisco I. Madero,160003146.6,0.004928831,31,38879,18.259,0.412,381.157,13.12,7.79,0,48.21,27.54,2.52,-0.88,Muy bajo
13024,Hidalgo,Huasca de Ocampo,155324258.9,0.0047847,5,19077,13.481,0.361,57.577,0,5.22,0.73,51.13,34.76,6.07,-0.43,Bajo
13025,Hidalgo,Huautla,155116700.8,0.004778306,10,23193,7.339,0.44,71.831,0,4.44,0,64.23,13.68,1.56,0.78,Medio
13026,Hidalgo,Huazalingo,150002006.4,0.00462075,4,15009,6.642,0.366,112.874,0,0,0,86.15,5.99,2.26,0.52,Medio
13027,Hidalgo,Huehuetla,148036236.6,0.004560195,6,27313,9.804,0.42,87.165,8.16,4.05,0,75.76,10.57,4.21,1.25,Alto
13028,Hidalgo,Huejutla de Reyes,147799576.6,0.004552905,124,139683,16.912,0.505,335.577,3.82,8.33,0.84,65.35,22.5,3.64,0.06,Bajo
13029,Hidalgo,Huichapan,146134162.1,0.004501603,53,49792,16.539,0.362,70.985,8.23,38.71,1.11,42.44,23.23,2.69,-0.68,Bajo
13030,Hidalgo,Ixmiquilpan,110890526.5,0.003415937,99,99735,19.052,0.421,174.516,14.2,37.06,1.38,50.24,36.01,2.74,-0.67,Bajo
13031,Hidalgo,Jacala de Ledezma,108180957.9,0.00333247,15,14478,6.232,0.435,35.428,7.43,29.52,0,43.68,11.35,3.11,-0.32,Bajo
13032,Hidalgo,Jaltocan,103698687.2,0.003194395,10,12806,13.056,0.427,215.635,0,8.61,0,75.21,10.11,3.54,0.31,Medio
13033,Hidalgo,Juarez Hidalgo,102197820.2,0.003148162,1,3412,10.811,0.37,17.881,0,0,0,55.64,25.86,3.6,-0.17,Bajo
13034,Hidalgo,Lolotla,96236395.37,0.002964523,3,10256,10.031,0.389,43.881,0,9.79,0,77.17,14.97,2.44,0.15,Medio
13035,Hidalgo,Metepec,93000807.63,0.002864852,5,12508,30.845,0.348,67.867,15.09,7.45,0,42.82,40.06,4.61,-0.53,Bajo
13036,Hidalgo,San Agustin Metzquititlan,87754928.72,0.002703254,6,10333,18.618,0.371,30.14,9.97,9.9,0,53.05,41.22,4.4,-0.55,Bajo
13037,Hidalgo,Metztitlan,76942502.58,0.002370182,12,22194,14.674,0.386,25.73,4.37,8.69,0.58,51.89,31.43,3.25,-0.02,Bajo
13038,Hidalgo,Mineral del Chico,75653124.02,0.002330463,3,9665,9.271,0.348,75.11,0,0,0,42.84,27.52,3.04,-0.12,Bajo
13039,Hidalgo,Mineral del Monte,68945317.58,0.002123832,12,15737,13.825,0.383,185.785,0,0,0,49.63,37.84,3.62,-0.95,Muy bajo
13040,Hidalgo,La Mision,68296796.71,0.002103855,1,10915,6.618,0.375,54.58,18.58,9.23,0,61.95,6.94,5.23,0.55,Medio
13041,Hidalgo,Mixquiahuala de Juarez,66804832.18,0.002057895,54,49931,21.459,0.376,341.941,10.48,12.44,1.13,39.75,27.21,3.03,-0.87,Muy bajo
13042,Hidalgo,Molango de Escamilla,64043123.78,0.001972822,18,12518,10.883,0.425,46.931,0,8.4,1.14,59.72,14.06,3.93,-0.27,Bajo
13043,Hidalgo,Nicolas Flores,57948797.21,0.001785089,2,7394,15.844,0.389,15.933,14.25,0,0,67.64,15.32,2.27,0.18,Medio
13044,Hidalgo,Nopala de Villagran,57072065.38,0.001758081,6,18122,13.293,0.349,50.727,24.53,6.09,0,43.09,24.4,4.15,-0.24,Bajo
13045,Hidalgo,Omitlan de Juarez,52944958.63,0.001630948,2,10555,10.16,0.366,84.118,0,9.7,0,44.75,37.94,4.83,-0.6,Bajo
13046,Hidalgo,San Felipe Orizatlan,50705197.56,0.001561953,30,41749,7.412,0.458,124.812,0,0,0.34,68.92,21.73,2.75,0.2,Medio
13047,Hidalgo,Pacula,50440476.74,0.001553798,3,5354,8.932,0.369,11.065,18.21,0,0,53.88,20.23,2.31,0.29,Medio
13048,Hidalgo,Pachuca de Soto,49371452.71,0.001520867,533,280312,20.363,0.397,1609.478,11.19,11.81,3.29,28.22,27.52,2.83,-1.26,Muy bajo
13049,Hidalgo,Pisaflores,46565997.76,0.001434446,8,18829,6.951,0.406,117.533,10.46,25.87,0,61.69,18.05,5.91,0.17,Medio
13050,Hidalgo,Progreso de Obregon,44911844.05,0.001383491,39,25375,23.897,0.383,223.028,12.08,15.94,1.62,38.97,33.49,3.62,-0.94,Muy bajo
13051,Hidalgo,Mineral de la Reforma,43446241.26,0.001338344,89,185907,18.374,0.384,2191.881,9.93,5.42,0.88,18.73,24.62,2.8,-1.36,Muy bajo
13052,Hidalgo,San Agustin Tlaxiaca,40851868.65,0.001258425,17,39180,19.693,0.386,109.676,11.02,8.18,0,43.41,36.41,2.66,-0.73,Muy bajo
13053,Hidalgo,San Bartolo Tutotepec,39686843.03,0.001222537,6,20082,4.24,0.47,57.878,10.83,16.12,0,65.13,11.99,4.84,1.44,Alto
13054,Hidalgo,San Salvador,36217998.26,0.001115681,13,37993,12.952,0.373,183.613,10.99,8.16,0,42.88,25.32,1.49,-0.72,Muy bajo
13055,Hidalgo,Santiago de Anaya,36168938.34,0.001114169,3,18386,11.062,0.337,57.985,5.64,0,0,49,23.76,1.49,-0.5,Bajo
13056,Hidalgo,Santiago Tulantepec de Lugo Guerrero,31043998.5,0.000956298,17,40098,27.808,0.382,440.056,7.98,7.89,0,39.15,38.72,5.7,-0.93,Muy bajo
13057,Hidalgo,Singuilucan,31043998.5,0.000956298,9,17377,22.852,0.356,45.322,6.12,6.06,0,48.89,47.36,7.47,-0.46,Bajo
13058,Hidalgo,Tasquillo,27939598.65,0.000860668,20,17607,22.386,0.413,104.437,16.35,10.8,0.74,51.63,33.61,1.6,-0.44,Bajo
13059,Hidalgo,Tecozautla,23800398.85,0.000733161,16,40515,11.135,0.359,66.035,7.81,20.61,0.36,44.22,18.78,3.78,-0.29,Bajo
13060,Hidalgo,Tenango de Doria,15521999.25,0.000478149,10,19646,5.606,0.418,83.071,5.4,0,0,63.54,11.3,4.37,0.2,Medio
13061,Hidalgo,Tepeapulco,14971892.67,0.000461203,79,58776,18.401,0.372,235.335,1.84,20.13,1.95,31.55,25.83,3.47,-1.19,Muy bajo
13062,Hidalgo,Tepehuacan de Guerrero,10347999.5,0.000318766,9,32819,7.359,0.405,73.218,0,6.41,0,81.58,7.26,4.76,1.07,Alto
13063,Hidalgo,Tepeji del Rio de Ocampo,10347999.5,0.000318766,50,93651,16.308,0.356,230.28,5.5,10.88,1.04,32.27,20.29,5.64,-0.8,Muy bajo
13064,Hidalgo,Tepetitlan,10315292.89,0.000317758,5,11792,19.521,0.35,60.2,64.37,54.73,0,42.04,24.7,3.5,-0.44,Bajo
13065,Hidalgo,Tetepango,9313199.551,0.000286889,13,12533,17.498,0.367,208.283,0,7.98,0,53.89,33.05,3.8,-0.83,Muy bajo
13066,Hidalgo,Villa de Tezontepec,6900808.771,0.000212577,14,13444,24.692,0.35,97.545,0,15.64,1.07,52.61,54.94,4.17,-1.04,Muy bajo
13067,Hidalgo,Tezontepec de Aldama,4980805.378,0.000153432,59,57003,19.491,0.36,456.407,55.86,69.96,0.76,55.11,29.33,3.4,-0.63,Bajo
13068,Hidalgo,Tianguistengo,4436234.21,0.000136656,2,16044,14.773,0.414,50.725,0,0,0,79.22,16.93,3.36,0.83,Medio
13069,Hidalgo,Tizayuca,,,120,137165,22.442,0.349,1819.481,25,18.05,1.1,35.89,28.94,3.88,-1.25,Muy bajo
13070,Hidalgo,Tlahuelilpan,,,20,20742,25.174,0.385,609.169,31.78,26.2,0,50.15,35.1,3.36,-0.85,Muy bajo
13071,Hidalgo,Tlahuiltepa,,,3,10933,8.24,0.38,19.427,0,9.83,0,71.17,17.25,4.58,0.41,Medio
13072,Hidalgo,Tlanalapa,,,7,11165,8.432,0.376,70.919,17.21,17.04,0,35.31,27.66,3.58,-1.12,Muy bajo
13073,Hidalgo,Tlanchinol,,,15,42175,4.342,0.409,99.19,2.58,12.75,0,85.78,7.74,3.67,0.37,Medio
13074,Hidalgo,Tlaxcoapan,,,59,30727,18.747,0.365,360.984,24.03,13.59,1.85,54.46,35.47,4.09,-0.86,Muy bajo
13075,Hidalgo,Tolcayuca,,,13,17698,17.295,0.338,176.838,20.47,13.51,0,41.11,30.91,4.48,-1.09,Muy bajo
13076,Hidalgo,Tula de Allende,,,140,118824,15.117,0.391,376.413,21.78,37.94,2.2,27.76,22.33,3.44,-1.01,Muy bajo
13077,Hidalgo,Tulancingo de Bravo,,,270,169624,27.897,0.391,579.783,10.45,8.6,1.82,44.52,39.74,5.38,-0.94,Muy bajo
13078,Hidalgo,Xochiatipan,,,5,21234,5.691,0.355,122.55,0,5.05,0,88.27,6.39,4.49,1.49,Alto
13079,Hidalgo,Xochicoatlan,,,3,8289,9.253,0.399,44.036,0,0,0,55.6,21.16,1.95,-0.11,Bajo
13080,Hidalgo,Yahualica,,,5,26131,6.425,0.37,149.994,0,12.11,0,79.54,8.92,3.53,1.19,Alto
13081,Hidalgo,Zacualtipan de Angeles,,,38,37628,25.141,0.394,157.926,7.86,5.17,1.08,59.43,43.1,3.51,-0.6,Bajo
13082,Hidalgo,Zapotlan de Juarez,,,22,20402,17.682,0.35,163.562,5.11,10.13,0.68,49.6,40.43,4.24,-0.97,Muy bajo
13083,Hidalgo,Zempoala,,,19,50540,22.267,0.378,189.359,6.08,9.98,0.27,34.3,37.97,3.52,-1.18,Muy bajo
13084,Hidalgo,Zimapan,,,39,42586,22.067,0.405,46.378,2.37,11.71,1.3,40.52,31.1,3.16,-0.55,Bajo
14001,Jalisco,Acatic,49106349210,0.365929156,17,23033,18.277,0.422,63.95,41.5,20.52,1.15,30.67,31.01,8.96,-0.79,Muy bajo
14002,Jalisco,Acatlan de Juarez,31987821679,0.238365848,18,24131,11.406,0.366,142.776,40.22,43.86,1.08,28.34,26.91,5.09,-1.12,Muy bajo
14003,Jalisco,Ahualulco de Mercado,18385242696,0.137002576,34,24796,14.194,0.415,150.318,8.73,0,1.76,32.85,24.13,4.36,-1.19,Muy bajo
14004,Jalisco,Amacueca,8446421815,0.062940782,5,5840,15.692,0.425,38.967,16.38,0,0,46.04,21.79,8.06,-0.84,Muy bajo
14005,Jalisco,Amatitan,4491297884,0.033468113,12,16451,20.21,0.405,79.493,0,0,1.7,36.65,30.14,5.25,-1.15,Muy bajo
14006,Jalisco,Ameca,3287337493,0.024496479,80,64979,13.967,0.415,88.061,4.86,12.86,2.16,35.38,35.66,4.86,-1.09,Muy bajo
14007,Jalisco,San Juanito de Escobedo,1878957460,0.014001556,7,9961,6.062,0.397,89.889,0,10.46,0,40.73,12.41,2.64,-1.03,Muy bajo
14008,Jalisco,Arandas,1550173762,0.011551536,130,80444,24.279,0.408,65.111,6.02,8.33,1.48,33.96,42.69,10.1,-0.91,Muy bajo
14009,Jalisco,El Arenal,1326792357,0.00988695,17,21022,13.588,0.389,116.138,19.92,9.85,0,30.92,25.78,6.06,-1.14,Muy bajo
14010,Jalisco,Atemajac de Brizuela,1163175434,0.008667714,5,7149,8.292,0.436,40.497,27.85,0,0,73.21,40.88,13.41,-0.4,Bajo
14011,Jalisco,Atengo,891762416.3,0.006645207,4,5921,9.68,0.42,13.576,17.06,0,0,49.16,26.8,5.77,-0.56,Bajo
14012,Jalisco,Atenguillo,821732540.5,0.006123361,6,4257,16.697,0.392,6.303,0,0,0,17.43,13.89,8.01,-0.9,Muy bajo
14013,Jalisco,Atotonilco el Alto,771344559.4,0.005747881,77,64746,11.323,0.41,100.304,6.2,4.61,1.47,34.38,30.4,9.81,-0.89,Muy bajo
